BatchID,SampleID,Result,ResultUnits,PPB,MicroGrams,SDG,AnalysisDateTime
25SLB0001,25SLB0001BLK,733.09,RFU,-0.04447,-0.00445,25SL0001,2025-02-11 16:24:38
25SLB0001,25SLB0001CAL1,1099.77,RFU,0.0,0.0,25SL0001,2025-02-11 16:24:38
25SLB0001,25SLB0001CAL2,1251.18,RFU,0.05,0.005,25SL0001,2025-02-11 16:24:38
25SLB0001,25SLB0001CAL3,6872.42,RFU,2.0,0.2,25SL0001,2025-02-11 16:24:38
25SLB0001,25SLB0001CAL4,31313.9,RFU,10.0,1.0,25SL0001,2025-02-11 16:24:38
25SLB0001,25SLB0001CAL5,124342.61,RFU,40.0,4.0,25SL0001,2025-02-11 16:24:38
25SLB0001,25SLB0001LCS,15355.59,RFU,4.69678,0.46968,25SL0001,2025-02-11 16:24:38
25SLB0001,Sample 1,726.45,RFU,-0.04663,-0.00466,25SL0001,2025-02-11 16:24:38
25SLB0001,Sample 2,748.73,RFU,-0.0394,-0.00394,25SL0001,2025-02-11 16:24:38
25SLB0001,Sample 3,733.09,RFU,-0.04447,-0.00445,25SL0001,2025-02-11 16:24:38
25SLB0001,Sample 3DUP,938.52,RFU,0.02214,0.00221,25SL0001,2025-02-11 16:24:38
25SLB0001,Sample 4,726.45,RFU,-0.04663,-0.00466,25SL0001,2025-02-11 16:24:38
25SLB0001,Sample 5,15355.59,RFU,4.69678,0.46968,25SL0001,2025-02-11 16:24:38
