BatchID,SampleID,Result,ResultUnits,PPB,AnalysisDateTime,MicroGrams
25LLB0001,25LLB0001CAL1,1099.77,RFU,0.0,2025-01-31 09:54:00,0.0
25LLB0001,25LLB0001CAL2,1251.18,RFU,0.05,2025-01-31 09:54:00,0.005
25LLB0001,25LLB0001CAL3,6872.42,RFU,2.0,2025-01-31 09:54:00,0.2
25LLB0001,25LLB0001CAL4,31313.9,RFU,10.0,2025-01-31 09:54:00,1.0
25LLB0001,25LLB0001CAL5,124342.61,RFU,40.0,2025-01-31 09:54:00,4.0
25LLB0001,23LC14-FSS-10-RB03-0403-001,733.09,RFU,-0.04447,2025-01-31 09:54:00,-0.00445
25LLB0001,25LLB0001BLK,726.45,RFU,-0.04663,2025-01-31 09:54:00,-0.00466
25LLB0001,25LLB0001LCS,15355.59,RFU,4.69678,2025-01-31 09:54:00,0.46968
25LLB0001,23LC14-FSS-10-RB03-0403-002,748.73,RFU,-0.0394,2025-01-31 09:54:00,-0.00394
25LLB0001,25LLB0001DUP,938.52,RFU,0.02214,2025-01-31 09:54:00,0.00221
25LLB0001,23LC14-FSS-10-RB03-0403-003,755.42,RFU,-0.03723,2025-01-31 09:54:00,-0.00372
25LLB0001,23LC14-FSS-10-RB03-0403-004,879.51,RFU,0.003,2025-01-31 09:54:00,0.0003
25LLB0001,23LC14-FSS-30-T117-0908-012,520.89,RFU,-0.11328,2025-01-31 09:54:00,-0.01133
25LLB0001,23LC14-FSS-30-T117-0908-013,798.74,RFU,-0.02319,2025-01-31 09:54:00,-0.00232
25LLB0001,23LC14-FSS-30-T117-0908-016,542.16,RFU,-0.10638,2025-01-31 09:54:00,-0.01064
25LLB0001,23LC14-FSS-30-T117-0908-017,624.73,RFU,-0.07961,2025-01-31 09:54:00,-0.00796
